GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
cobW,cds-WP_011132412.1,740628,741683,858,PMM0778,NC_005072.1,+,NA,"ko00000,ko00001",,,S,,,,,,,ko:K02234,,"COG0523@1|root,COG0523@2|Bacteria,1FZWP@1117|Cyanobacteria,1MKGM@1212|Prochloraceae","CobW_C,cobW",cobW,"involved in Zn homeostasis, GTPase of COG0523 family",5.17E-249,1117|Cyanobacteria,684,59919.PMM0778,100,,,GTP-binding protein,WP_011132412.1,CDS
purS,cds-WP_011132413.1,742007,742258,860,PMM0779,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,F,6.3.5.3,,M00048,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",R04463,,ko:K01952,"RC00010,RC01160","COG1828@1|root,COG1828@2|Bacteria,1GHUI@1117|Cyanobacteria,1MMND@1212|Prochloraceae",PurS,purS,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,6.87E-50,1117|Cyanobacteria,158,59919.PMM0779,100,,purS,phosphoribosylformylglycinamidine synthase subunit PurS,WP_011132413.1,CDS
purQ,cds-WP_011132414.1,742259,742924,861,PMM0780,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,F,6.3.5.3,"GO:0000166,GO:0003674,GO:0003824,GO:0004359,GO:0004642,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006520,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0016874,GO:0016879,GO:0016884,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605",M00048,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",R04463,,ko:K01952,"RC00010,RC01160","COG0047@1|root,COG0047@2|Bacteria,1G18Q@1117|Cyanobacteria,1MM35@1212|Prochloraceae",GATase_5,purQ,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,8.45E-167,1117|Cyanobacteria,465,59919.PMM0780,100,,purQ,phosphoribosylformylglycinamidine synthase subunit PurQ,WP_011132414.1,CDS
cbbA,cds-WP_011132415.1,742975,744048,862,PMM0781,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,G,4.1.2.13,"GO:0003674,GO:0003824,GO:0004332,GO:0005488,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016830,GO:0016832,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046914,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576","M00001,M00003,M00165,M00167,M00344,M00345","ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","R01068,R01070,R01829,R02568",,ko:K01624,"RC00438,RC00439,RC00603,RC00604","COG0191@1|root,COG0191@2|Bacteria,1G251@1117|Cyanobacteria,1MM06@1212|Prochloraceae",F_bP_aldolase,cbbA,Alternative locus ID,1.51E-260,1117|Cyanobacteria,713,59919.PMM0781,100,,fba,fructose-bisphosphate aldolase class II,WP_011132415.1,CDS
PMM0783,cds-WP_011132417.1,745294,745683,864,PMM0783,NC_005072.1,-,NA,,,,S,,,,,,,,,"2F979@1|root,341IN@2|Bacteria,1GEFJ@1117|Cyanobacteria,1MMH2@1212|Prochloraceae",,,Alternative locus ID,4.29E-88,1117|Cyanobacteria,258,59919.PMM0783,100,,,hypothetical protein,WP_011132417.1,CDS
accD,cds-WP_011132418.1,745688,746566,865,PMM0784,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",iJN678.accD,,I,"2.1.3.15,6.4.1.2","GO:0000166,GO:0003674,GO:0003824,GO:0003989,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006629,GO:0006631,GO:0006633,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009317,GO:0009987,GO:0016053,GO:0016421,GO:0016740,GO:0016874,GO:0016885,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0032991,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046394,GO:0046483,GO:0046872,GO:0051186,GO:0051188,GO:0055086,GO:0071616,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:2001293,GO:2001295","M00082,M00376","ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212","R00742,R04386",,ko:K01963,"RC00040,RC00253,RC00367","COG0777@1|root,COG0777@2|Bacteria,1G1ZY@1117|Cyanobacteria,1MKJD@1212|Prochloraceae",Carboxyl_trans,accD,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,1.07E-209,1117|Cyanobacteria,579,59919.PMM0784,100,,accD,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,WP_011132418.1,CDS
cbbP,cds-WP_011132419.1,746750,747649,866,PMM0785,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,G,2.7.1.19,,"M00165,M00166","ko00710,ko01100,ko01120,ko01200,map00710,map01100,map01120,map01200",R01523,,ko:K00855,"RC00002,RC00017","COG3954@1|root,COG3954@2|Bacteria,1GBJ0@1117|Cyanobacteria,1MKGH@1212|Prochloraceae",PRK,prkB,Alternative locus ID,4.28E-224,1117|Cyanobacteria,616,59919.PMM0785,100,,,phosphoribulokinase,WP_011132419.1,CDS
leuB,cds-WP_011132420.1,747739,748812,867,PMM0786,NC_005072.1,-,NA,"br01601,ko00000,ko00001,ko00002,ko01000",,,CE,1.1.1.85,"GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0003862,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006551,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0036094,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","M00432,M00535","ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230","R00994,R04426,R10052",,ko:K00052,"RC00084,RC00417,RC03036","COG0473@1|root,COG0473@2|Bacteria,1G2E4@1117|Cyanobacteria,1MKMA@1212|Prochloraceae",Iso_dh,leuB,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate,3.00E-251,1117|Cyanobacteria,690,59919.PMM0786,100,,leuB,3-isopropylmalate dehydrogenase,WP_011132420.1,CDS
lpxD,cds-WP_011132421.1,748841,749875,868,PMM0787,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000,ko01005",,,M,2.3.1.191,"GO:0003674,GO:0003824,GO:0005975,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0019637,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046467,GO:0046493,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509",M00060,"ko00540,ko01100,map00540,map01100",R04550,,ko:K02536,"RC00039,RC00166","COG1044@1|root,COG1044@2|Bacteria,1G04G@1117|Cyanobacteria,1MKWP@1212|Prochloraceae","Hexapep,Hexapep_2,LpxD",lpxD,"Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell",4.49E-161,1117|Cyanobacteria,461,59919.PMM0787,100,,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,WP_011132421.1,CDS
proB,cds-WP_011132422.1,749890,750972,869,PMM0788,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,F,2.7.2.11,"GO:0000166,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004349,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0017076,GO:0017144,GO:0018130,GO:0019202,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0055129,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00015,"ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230",R00239,,ko:K00931,"RC00002,RC00043","COG0263@1|root,COG0263@2|Bacteria,1G09H@1117|Cyanobacteria,1MKWI@1212|Prochloraceae","AA_kinase,PUA",proB,Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate,1.32E-251,1117|Cyanobacteria,691,59919.PMM0788,100,,proB,glutamate 5-kinase,WP_011132422.1,CDS
PMM0789,cds-WP_011132423.1,750969,751463,870,PMM0789,NC_005072.1,-,NA,ko00000,,,S,,,,,,,ko:K07015,,"COG2179@1|root,COG2179@2|Bacteria,1GDGK@1117|Cyanobacteria,1MMQD@1212|Prochloraceae","Hydrolase_like,PGP_phosphatase",,Alternative locus ID,7.59E-108,1117|Cyanobacteria,311,59919.PMM0789,100,,,YqeG family HAD IIIA-type phosphatase,WP_011132423.1,CDS
PMM0790,cds-WP_011132424.1,751468,752004,871,PMM0790,NC_005072.1,-,NA,,,,S,,,,,,,,,"2B3Q5@1|root,31WDP@2|Bacteria,1G5B3@1117|Cyanobacteria,1MMAI@1212|Prochloraceae","DUF1292,DUF3727",,Alternative locus ID,8.02E-119,1117|Cyanobacteria,340,59919.PMM0790,100,,,DUF3727 domain-containing protein,WP_011132424.1,CDS
ruvX,cds-WP_011132425.1,752038,752493,872,PMM0791,NC_005072.1,-,NA,"ko00000,ko01000",,,J,,"GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:1901360",,,,,ko:K07447,,"COG0816@1|root,COG0816@2|Bacteria,1G5R5@1117|Cyanobacteria,1MMIS@1212|Prochloraceae",RuvX,,Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA,7.84E-106,1117|Cyanobacteria,305,59919.PMM0791,100,,ruvX,Holliday junction resolvase RuvX,WP_011132425.1,CDS
PMM0792,cds-WP_011132426.1,752490,753545,873,PMM0792,NC_005072.1,-,NA,,,,K,,,,,,,,,"COG0454@1|root,COG0456@2|Bacteria,1GM5S@1117|Cyanobacteria,1MKN4@1212|Prochloraceae",,,Alternative locus ID,2.56E-249,1117|Cyanobacteria,684,59919.PMM0792,100,,,hypothetical protein,WP_011132426.1,CDS
PMM0794,cds-WP_011132428.1,754730,755272,875,PMM0794,NC_005072.1,-,NA,,,,CO,,,,,,,,,"COG0526@1|root,COG0526@2|Bacteria,1GE3P@1117|Cyanobacteria,1MMCI@1212|Prochloraceae",,,Alternative locus ID,3.53E-123,1117|Cyanobacteria,351,59919.PMM0794,100,,,thylakoid membrane photosystem I accumulation factor,WP_011132428.1,CDS
ycf55,cds-WP_011132429.1,755287,756909,876,PMM0795,NC_005072.1,-,NA,,,,KT,,"GO:0000160,GO:0005575,GO:0005622,GO:0005623,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0023052,GO:0035556,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007",,,,,,,"COG2197@1|root,COG2197@2|Bacteria,1G0E9@1117|Cyanobacteria,1MKKH@1212|Prochloraceae","DUF3685,Response_reg",ycf55,Alternative locus ID,0,1117|Cyanobacteria,1030,59919.PMM0795,100,,,DUF3685 domain-containing protein,WP_011132429.1,CDS
hisA,cds-WP_011132430.1,756989,757756,877,PMM0796,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,E,5.3.1.16,"GO:0000105,GO:0000162,GO:0003674,GO:0003824,GO:0003949,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00026,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",R04640,,ko:K01814,RC00945,"COG0106@1|root,COG0106@2|Bacteria,1G1S9@1117|Cyanobacteria,1MKJF@1212|Prochloraceae",His_biosynth,hisA,1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase,9.01E-179,1117|Cyanobacteria,498,59919.PMM0796,100,,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,WP_011132430.1,CDS
PMM0797,cds-WP_011132431.1,757849,758769,878,PMM0797,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,GM,"4.2.1.46,5.1.3.2",,"M00361,M00362,M00632,M00793","ko00052,ko00520,ko00521,ko00523,ko00525,ko01055,ko01100,ko01130,map00052,map00520,map00521,map00523,map00525,map01055,map01100,map01130","R00291,R02984,R06513",,"ko:K01710,ko:K01784","RC00289,RC00402","COG0451@1|root,COG0451@2|Bacteria,1G14S@1117|Cyanobacteria,1MKWX@1212|Prochloraceae",Epimerase,,involved in final steps of 23S rRNA maturation,9.76E-229,1117|Cyanobacteria,629,59919.PMM0797,100,,,NAD-dependent epimerase/dehydratase family protein,WP_011132431.1,CDS
pgsA,cds-WP_011132432.1,758743,759285,879,PMM0798,NC_005072.1,-,NA,"ko00000,ko00001,ko01000",,,I,2.7.8.5,,,"ko00564,ko01100,map00564,map01100",R01801,,ko:K00995,"RC00002,RC00017,RC02795","COG0558@1|root,COG0558@2|Bacteria,1GDBH@1117|Cyanobacteria,1MMSN@1212|Prochloraceae",CDP-OH_P_transf,pgsA,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,2.29E-119,1117|Cyanobacteria,342,59919.PMM0798,100,,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,WP_011132432.1,CDS
PMM0799,cds-WP_011132433.1,759421,760032,880,PMM0799,NC_005072.1,+,NA,,,,O,,,,,,,,,"COG0695@1|root,COG1661@1|root,COG0695@2|Bacteria,COG1661@2|Bacteria,1GC3J@1117|Cyanobacteria,1MM7J@1212|Prochloraceae","DUF296,Glutaredoxin",,Alternative locus ID,5.75E-147,1117|Cyanobacteria,413,59919.PMM0799,100,,,DUF296 domain-containing protein,WP_011132433.1,CDS
PMM0800,cds-WP_011132434.1,760044,760232,881,PMM0800,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BF8I@1|root,3291B@2|Bacteria,1GKW5@1117|Cyanobacteria,1MMQ8@1212|Prochloraceae",,,Alternative locus ID,3.26E-32,1117|Cyanobacteria,112,1471522.JFNU01000073_gene405,98.4,,,hypothetical protein,WP_011132434.1,CDS
PMM0801,cds-WP_011132435.1,760257,760916,882,PMM0801,NC_005072.1,-,NA,,,,GM,,,,,,,,,"COG0702@1|root,COG0702@2|Bacteria,1G1JF@1117|Cyanobacteria,1MM4Y@1212|Prochloraceae",NAD_binding_10,,Alternative locus ID,1.50E-150,1117|Cyanobacteria,424,59919.PMM0801,100,,,SDR family oxidoreductase,WP_011132435.1,CDS
nth,cds-WP_011132436.1,760952,761605,883,PMM0802,NC_005072.1,-,NA,"ko00000,ko00001,ko01000,ko03400",,,L,4.2.99.18,,,"ko03410,map03410",,,ko:K10773,,"COG0177@1|root,COG0177@2|Bacteria,1GBQT@1117|Cyanobacteria,1MKMX@1212|Prochloraceae","EndIII_4Fe-2S,HhH-GPD",nth,"DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate",4.17E-156,1117|Cyanobacteria,437,59919.PMM0802,100,,nth,endonuclease III,WP_011132436.1,CDS
potA,cds-WP_011132437.1,761703,762761,884,PMM0803,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko02000",,,E,3.6.3.30,,M00190,"ko02010,map02010",,3.A.1.10,ko:K02010,,"COG3842@1|root,COG3842@2|Bacteria,1G14G@1117|Cyanobacteria,1MKNI@1212|Prochloraceae","ABC_tran,TOBE_2",potA,"ATP binding component, possibly iron transporter",5.67E-258,1117|Cyanobacteria,706,59919.PMM0803,100,,,ABC transporter ATP-binding protein,WP_011132437.1,CDS
ftn,cds-WP_011132438.1,763008,763562,885,PMM0804,NC_005072.1,+,NA,,,,P,,,,,,,,,"COG1528@1|root,COG1528@2|Bacteria,1G5F6@1117|Cyanobacteria,1MMGC@1212|Prochloraceae",Ferritin,ftn,Iron-storage protein,2.12E-126,1117|Cyanobacteria,360,59919.PMM0804,100,,,ferritin,WP_011132438.1,CDS
PMM0805,cds-WP_011132439.1,763548,763838,886,PMM0805,NC_005072.1,-,NA,,,,S,,,,,,,,,"2BDD3@1|root,3271Z@2|Bacteria,1GJ4W@1117|Cyanobacteria,1MMQK@1212|Prochloraceae",,,Alternative locus ID,1.60E-29,1117|Cyanobacteria,108,74545.EU96_0459,100,,,hypothetical protein,WP_011132439.1,CDS
cds-WP_011132440.1,cds-WP_011132440.1,763846,764442,887,NA,NC_005072.1,-,NA,,,,K,,,,,,,,,"COG0664@1|root,COG0664@2|Bacteria,1GCH5@1117|Cyanobacteria,1MKPX@1212|Prochloraceae",HTH_Crp_2,,Alternative locus ID,1.16E-139,1117|Cyanobacteria,394,59919.PMM0806,100,,,helix-turn-helix domain-containing protein,WP_011132440.1,CDS
modF,cds-WP_011132441.1,764766,765572,888,PMM0807,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000,ko02000",,,P,3.6.3.34,,M00240,"ko02010,map02010",,3.A.1.14,ko:K02013,,"COG1119@1|root,COG1119@2|Bacteria,1G471@1117|Cyanobacteria,1MM49@1212|Prochloraceae",ABC_tran,modF,Alternative locus ID,7.14E-187,1117|Cyanobacteria,520,59919.PMM0807,100,,,ABC transporter ATP-binding protein,WP_011132441.1,CDS
cao,cds-WP_011132442.1,765679,767001,889,PMM0808,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,P,,,M00790,"ko00404,ko01130,map00404,map01130",R11107,,ko:K19982,RC01333,"COG4638@1|root,COG4638@2|Bacteria,1G2UQ@1117|Cyanobacteria,1MKEJ@1212|Prochloraceae","PaO,Rieske",hcaE,Alternative locus ID,0,1117|Cyanobacteria,892,59919.PMM0808,100,,,Rieske 2Fe-2S domain-containing protein,WP_011132442.1,CDS
PMM0809,cds-WP_011132443.1,767367,767711,890,PMM0809,NC_005072.1,+,NA,,,,S,,,,,,,,,"2B87F@1|root,321G1@2|Bacteria,1GMHG@1117|Cyanobacteria,1MMKF@1212|Prochloraceae",,,Alternative locus ID,1.71E-62,1117|Cyanobacteria,192,59919.PMM0809,100,,,hypothetical protein,WP_011132443.1,CDS
PMM0810,cds-WP_011132444.1,768322,768618,892,PMM0810,NC_005072.1,-,NA,,,,S,,,,,,,,,"2B873@1|root,321FM@2|Bacteria,1GMH4@1117|Cyanobacteria,1MMJY@1212|Prochloraceae",,,Alternative locus ID,7.24E-70,1117|Cyanobacteria,210,59919.PMM0810,100,,,hypothetical protein,WP_011132444.1,CDS
hli18,cds-WP_011132450.1,773224,773484,902,PMM0816,NC_005072.1,-,NA,,,,S,,,,,,,,,"2B8WT@1|root,32273@2|Bacteria,1GN1D@1117|Cyanobacteria,1MMVK@1212|Prochloraceae",Chloroa_b-bind,,Alternative locus ID,4.06E-48,1117|Cyanobacteria,154,59919.PMM0816,100,,,high light inducible protein,WP_011132450.1,CDS
hli8,cds-WP_011132450.1-2,1345098,1345358,1565,PMM1397,NC_005072.1,-,NA,,,,S,,,,,,,,,"2B8WT@1|root,32273@2|Bacteria,1GN1D@1117|Cyanobacteria,1MMVK@1212|Prochloraceae",Chloroa_b-bind,,Alternative locus ID,4.06E-48,1117|Cyanobacteria,154,59919.PMM0816,100,,,high light inducible protein,WP_011132450.1,CDS
hli17,cds-WP_011132451.1,773484,773693,903,PMM0817,NC_005072.1,-,NA,,,,S,,,,,,,,,"2E3E5@1|root,32YD8@2|Bacteria,1GPAR@1117|Cyanobacteria,1MMYF@1212|Prochloraceae",Chloroa_b-bind,hli7,Alternative locus ID,9.31E-44,1117|Cyanobacteria,142,59919.PMM0817,100,,,high light inducible protein,WP_011132451.1,CDS
